propert_title,propert_location,price,area,listing_type
93 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",25 OMR,93,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",110 OMR,,For Rent
Residential Land for Rent in Al Sharqiya Ibra,"Al Sharqiya, Ibra","7,000 OMR",,For Rent
3+1 STANDALONE VILLA [MQ-188],"Muscat, Madinat As Sultan Qaboos",750 OMR,1,For Rent
280 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25 OMR,280,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",50 OMR,250,For Rent
Studio Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50 OMR,150,For Rent
347 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,347,For Rent
RETAIL SPACES [AK-168],"Muscat, Al Khuwair",7 OMR,1,For Rent
Studio Chalet for Rent in Muscat Al-Hail,"Muscat, Al-Hail",35 OMR,80,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Al Rumais,"Al Batinah, Al Rumais",75 OMR,200,For Rent
Villa for Rent South Al-Hail فيلا للايجار الحيل الحنوبية,"Muscat, Al-Hail",550 OMR,,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",,300,For Rent
55 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,55,For Rent
400 m2 More than 6 bedrooms Townhouse for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",550 OMR,400,For Rent
300 m2 5 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,300,For Rent
300 m2 More than 6 bedrooms Villa for Rent in Muscat Seeb,"Muscat, Seeb","1,200 OMR",300,For Rent
Unfurnished Monthly in Al Batinah Al Rumais,"Al Batinah, Al Rumais",75 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",25 OMR,100,For Rent
600 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,600,For Rent
85 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,85,For Rent
2 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,2,For Rent
Semi Furnished Weekly in Muscat Al Maabilah,"Muscat, Al Maabilah",5 OMR,,For Rent
325 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,325,For Rent
1 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,1,For Rent
75 m2 Studio Apartments for Rent in Muscat Bosher,"Muscat, Bosher",1 OMR,75,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,300,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",13 OMR,101,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Bidiya,"Al Sharqiya, Bidiya",55 OMR,200,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",99 OMR,,For Rent
135 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,135,For Rent
"This Flat have 2 bedroom,1 hall room,2 washroom,1 kitchen,2 store room, personal terrace,and parking","Muscat, Al-Hail",160 OMR,1,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,200,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",80 OMR,300,For Rent
150 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,150,For Rent
135 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,135,For Rent
800 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,800,For Rent
150 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",90 OMR,150,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",60 OMR,300,For Rent
Furnished Daily in Muscat Al-Sifah,"Muscat, Al-Sifah",20 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
60 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,60,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,300,For Rent
Single room with attached bathroom  Free WiFi Airport pickup & Tour guide at affordable price,"Dhofar, Other",15 OMR,20,For Rent
300 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,300,For Rent
محلات للايجار خط اول شارع النزه,"Muscat, Seeb",650 OMR,70,For Rent
Room For Rent Ruwi Honda Road,"Muscat, Ruwi",80 OMR,,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",10 OMR,70,For Rent
250 m2 3 Bedrooms Villa for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",350 OMR,250,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",7 OMR,,For Rent
400 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",140 OMR,400,For Rent
98 m2 2 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",400 OMR,98,For Rent
65 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",185 OMR,65,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
360 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,360,For Rent
83 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,83,For Rent
200 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,200,For Rent
10111 m2 2 Bedrooms Townhouse for Rent in Al Batinah Sohar,"Al Batinah, Sohar",150 OMR,10111,For Rent
60 m2 Studio Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",185 OMR,60,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",60 OMR,300,For Rent
محل للايجار متبقئ واحد على الشارع مستعجل,"Al Dakhiliya, Bidbid",150 OMR,8,For Rent
350 m2 More than 6 bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",500 OMR,350,For Rent
Furnished Daily in Dhofar Taqah,"Dhofar, Taqah",55 OMR,,For Rent
110 m2 3 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",140 OMR,110,For Rent
200 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,200,For Rent
Furnished Daily in Al Dakhiliya Adam,"Al Dakhiliya, Adam",10 OMR,,For Rent
2bhk apartment for rent in North Ghubrah,"Muscat, Ghubrah",400 OMR,1111,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Darsait,"Muscat, Darsait",210 OMR,100,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,200,For Rent
325 m2 3 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",350 OMR,325,For Rent
Nice studio single room  with hall and toilet.  موقع جدا ممتاز وقريب جميع الخدمات..   يشمل الكهرباء,"Muscat, Al Khuwair",150 OMR,120,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,100,For Rent
Big land for invest  in barka and Jufinieأرض صناعية كبيره  والجفنين للإستثمار بصناعية بركاء,"Al Batinah, Barka",500 OMR,,For Rent
600 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,600,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",210 OMR,100,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",230 OMR,120,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",10 OMR,,For Rent
120 m2 Studio Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",130 OMR,120,For Rent
100 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",10 OMR,100,For Rent
314 m2 5 Bedrooms Townhouse for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",240 OMR,314,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",90 OMR,300,For Rent
180 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,180,For Rent
250 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,250,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,100,For Rent
Semi Furnished Monthly in Muscat Darsait,"Muscat, Darsait",60 OMR,,For Rent
102 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",120 OMR,102,For Rent
250 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,250,For Rent
3000 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,3000,For Rent
35 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",17 OMR,35,For Rent
20000 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",310 OMR,20000,For Rent
101 m2 1 Bedroom Apartments for Rent in Muscat Qurm,"Muscat, Qurm",380 OMR,101,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",65 OMR,,For Rent
500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,500,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,,For Rent
150 m2 3 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",50 OMR,150,For Rent
60 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,60,For Rent
350 m2 4 Bedrooms Townhouse for Rent in Muscat Amerat,"Muscat, Amerat",270 OMR,350,For Rent
108 m2 1 Bedroom Apartments for Rent in Muscat Al Mouj,"Muscat, Al Mouj",525 OMR,108,For Rent
200 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,200,For Rent
65 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",18 OMR,65,For Rent
Shop for Rent in Ghala (Muscat) محل للإيجار ( مرتفعات غلا ) مسقط,"Muscat, Ghala",260 OMR,47,For Rent
101111111 ft² 2 Bedrooms Townhouse for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",70 OMR,,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,90,For Rent
4 Bedrooms Chalet for Rent in Muscat Al Jafnayn,"Muscat, Al Jafnayn",25 OMR,2500,For Rent
2 bhk elkwer elmaha street غرفتين وصاله وبلكون بشارع المها new and clean,"Muscat, Al Khuwair",360 OMR,100,For Rent
BANNER 09 - SPACIOUS 4BHK VILLA in SUR AL HADID,"Muscat, Al Maabilah",450 OMR,10,For Rent
Unfurnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",85 OMR,,For Rent
1 Bedroom Chalet for Rent in Al Sharqiya Sinaw,"Al Sharqiya, Sinaw",30 OMR,300,For Rent
100 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",170 OMR,100,For Rent
120 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,120,For Rent
600 m2 2 Bedrooms Apartments for Rent in Al Batinah Liwa,"Al Batinah, Liwa",110 OMR,600,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",160 OMR,,For Rent
200 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20 OMR,200,For Rent
400 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",75 OMR,400,For Rent
50 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",170 OMR,50,For Rent
50 m2 1 Bedroom Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",110 OMR,50,For Rent
Limited Time Offer: Perfect Bed Spaces in Al-Khuwair!,"Muscat, Al Khuwair",50 OMR,,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,90,For Rent
250 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,250,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100,For Rent
Residential Land for Rent in Muscat Seeb,"Muscat, Seeb","60,000 OMR",,For Rent
100 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",130 OMR,100,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",95 OMR,,For Rent
96 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",58 OMR,96,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,100,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",19 OMR,,For Rent
600 m2 4 Bedrooms Villa for Rent in Dhofar Other,"Dhofar, Other",50 OMR,600,For Rent
88 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,88,For Rent
290 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,290,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,120,For Rent
200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",17 OMR,200,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",80 OMR,,For Rent
100 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,100,For Rent
Flat for rent in Sohar very good price,"Al Batinah, Sohar",110 OMR,110,For Rent
500 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,500,For Rent
35 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,35,For Rent
200 m2 3 Bedrooms Villa for Rent in Muscat Misfah,"Muscat, Misfah",350 OMR,200,For Rent
شقق  للإيجار ولاية طاقه محافظة ظفار,"Dhofar, Taqah",25 OMR,600,For Rent
111111 m2 1 Bedroom Apartments for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",25 OMR,111111,For Rent
100 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,100,For Rent
مقهي للبيع بجميع مستلزماته وجاهز للتشغيل علي الفور المطعم كان اكل مصري سبب البيع السفر,"Al Dhahirah, Dhank","1,500 OMR",60,For Rent
بنايه لايجارفقط صناعية بها ثلاث محلات وحوش داخلي,"Al Batinah, Rustaq",600 OMR,300,For Rent
39 m2 3 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,39,For Rent
600 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",130 OMR,600,For Rent
2147483647 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,2147483647,For Rent
مخزن كونر للإيجار في الرسيل الصناعية,"Muscat, Rusail",900 OMR,370,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,200,For Rent
250 m2 2 Bedrooms Apartments for Rent in Muscat Al-Sifah,"Muscat, Al-Sifah",35 OMR,250,For Rent
500 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala","1,300 OMR",500,For Rent
Mixed Use Land for Rent in Al Batinah Barka,"Al Batinah, Barka",,,For Rent
Mixed Use Land for Rent in Al Batinah Barka,"Al Batinah, Barka",,,For Rent
(Free wi fi )fully furnished Daily Rent 24hr,"Dhofar, Salala",20 OMR,400,For Rent
85 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,85,For Rent
80 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",110 OMR,80,For Rent
650 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala","2,400 OMR",650,For Rent
400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,400,For Rent
2592 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,2592,For Rent
500 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Other,"Al Sharqiya, Other",25 OMR,500,For Rent
108 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",25 OMR,108,For Rent
40 m2 1 Bedroom Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",15 OMR,40,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,90,For Rent
90 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,90,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",45 OMR,,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",7 OMR,,For Rent
Industrial Land for Rent in Muscat Misfah,"Muscat, Misfah",700 OMR,,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",8 OMR,,For Rent
300 ft² 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,,For Rent
Furnished Monthly in Muscat Amerat,"Muscat, Amerat",100 OMR,,For Rent
1 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",170 OMR,1,For Rent
Furnished Daily in Dhofar Mirbat,"Dhofar, Mirbat",35 OMR,,For Rent
Furnished Daily in Al Batinah Barka,"Al Batinah, Barka",12 OMR,,For Rent
111 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",120 OMR,111,For Rent
500 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",10 OMR,500,For Rent
180 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,180,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,180,For Rent
2500 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,2500,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",100 OMR,,For Rent
400 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala","100,000 OMR",400,For Rent
"محلات للإيجار بموقع ممتاز الخط الأول, Shops for rent in an excellent location, first line","Muscat, Amerat",150 OMR,43,For Rent
400 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,400,For Rent
350 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120 OMR,350,For Rent
2000 m2 3 Bedrooms Townhouse for Rent in Dhofar Other,"Dhofar, Other",30 OMR,2000,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
10 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",11 OMR,10,For Rent
230 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",600 OMR,230,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",25 OMR,,For Rent
Mixed Use Land for Rent in Al Dakhiliya Adam,"Al Dakhiliya, Adam",,,For Rent
360 m2 More than 6 bedrooms Villa for Rent in Muscat Bosher,"Muscat, Bosher",700 OMR,360,For Rent
Industrial Land for Rent in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",150 OMR,,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,180,For Rent
400 m2 5 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,400,For Rent
2 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,2,For Rent
60 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,60,For Rent
260 m2 4 Bedrooms Townhouse for Rent in Al Batinah Saham,"Al Batinah, Saham",300 OMR,260,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Sohar,"Al Batinah, Sohar",45 OMR,1200000,For Rent
327 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",420 OMR,327,For Rent
2 Bedrooms Chalet for Rent in Al Dhahirah Ibri,"Al Dhahirah, Ibri",25 OMR,2400,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,90,For Rent
350 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",15 OMR,350,For Rent
420 m2 5 Bedrooms Villa for Rent in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",1 OMR,420,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",6 OMR,,For Rent
320 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,320,For Rent
Farm for rent مزرعة للايجار,"Muscat, Quriyat",40 OMR,200,For Rent
200 m2 More than 6 bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",10 OMR,200,For Rent
250 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",18 OMR,250,For Rent
3 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,100,For Rent
Per day 30rial,"Dhofar, Salala",30 OMR,,For Rent
6 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3 OMR,6,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",85 OMR,,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",150 OMR,90,For Rent
30 m2 1 Bedroom Apartments for Rent in Al Batinah Saham,"Al Batinah, Saham",135 OMR,30,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",35 OMR,,For Rent
2000 m2 Studio Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",9 OMR,2000,For Rent
مخزن تبريد وتجميد cold storages,"Al Batinah, Sohar",1 OMR,1200,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,,For Rent
Furnished Daily in Muscat Bosher,"Muscat, Bosher",25 OMR,,For Rent
10000 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,10000,For Rent
70 m2 Studio Apartments for Rent in Muscat Qurm,"Muscat, Qurm",350 OMR,70,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",18 OMR,,For Rent
Two-bedroom apartment for rent at Al Khuwair,"Muscat, Al Khuwair",200 OMR,85,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100,For Rent
100 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",22 OMR,100,For Rent
For Rent: Modern 2-Bedroom Duplex Flat with Underground Parking – Azaiba  REF WT2127,"Muscat, Azaiba",350 OMR,100,For Rent
For Rent: Large 5-Bedroom Villa with 7 Bathrooms & Shaded Parking – Al Mawaleh  REF WT2126,"Muscat, Al Mawaleh",500 OMR,300,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Muscat Amerat,"Muscat, Amerat",250 OMR,300,For Rent
For Rent: Spacious 3-Bedroom Flat with 4 Bathrooms – Qurum  REF WT2125,"Muscat, Qurm",400 OMR,95,For Rent
For Rent: Stylish 2+1 Bedroom Penthouse Flat with Underground Parking – Qurum  REF WT2124,"Muscat, Qurm",375 OMR,100,For Rent
For Rent: Spacious 2-Bedroom Flat in Prime Location – Shati Al Qurum  REF WT2123,"Muscat, Qurm",500 OMR,95,For Rent
For Rent: 1 & 2-Bedroom Flats in Prime Location – Mina Al Fahal  REF WT2122,"Muscat, Qurm",300 OMR,80,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",120 OMR,,For Rent
For Rent: Spacious 5-Bedroom Penthouse – Mina Al Fahal  REF WT2121,"Muscat, Qurm","1,000 OMR",220,For Rent
room with attached bathroom for rent for 120,"Muscat, Azaiba",120 OMR,,For Rent
rent bed 3 _2.5 OMR and room 5 or 6 or 7  until 8 OMR for family and single. rent daily and montly,"Muscat, Ghubrah",3 OMR,,For Rent
For Rent: Furnished 4-Bedroom Villa  – Madinat As Sultan Qaboos  REF SS3001,"Muscat, Madinat As Sultan Qaboos",475 OMR,300,For Rent
bed space available in ghubrah north,"Muscat, Ghubrah",20 OMR,,For Rent
2 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",,2,For Rent
150 m2 3 Bedrooms Townhouse for Rent in Al Batinah Saham,"Al Batinah, Saham",130 OMR,150,For Rent
140 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",130 OMR,140,For Rent
180 m2 5 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,180,For Rent
Prime Commercial Space in Al Khoudh Souq! !مساحة تجارية مميزة في سوق الخوض,"Muscat, Al Khoud","1,100 OMR",225,For Rent
Prime shops in Al Morooj Mall,"Dhofar, Salala",50 OMR,20,For Rent
220 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20 OMR,220,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",6 OMR,,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",23 OMR,600,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Masira,"Al Sharqiya, Masira","2,500 OMR",300,For Rent
150 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",300 OMR,150,For Rent
108 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",25 OMR,108,For Rent
